gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ANAPC7	1684.2851	ANAPC7	851.2127
ANGEL1	571.2262	ANGEL1	707.556
ANGEL2	1079.7698	ANGEL2	733.6754
ANGPT1	43.5591	ANGPT1	296.1754
ANGPT2	560.602	ANGPT2	136.194
removed	removed	ANGPT4	10.2612
ANGPTL1	40.3718	ANGPTL1	177.7052
ANGPTL2	2669.8539	ANGPTL2	3353.0784
ANGPTL4	137.0518	ANGPTL4	828.8246
removed	removed	ANGPTL7	362.8731
ANG	340.5011	ANG	430.7743
ANK1	7.4369	ANK1	15.3918
ANK2	185.2147	ANK2	632.9291
ANK3	1705.5334	ANK3	1821.8284
ANKAR	14.8738	ANKAR	61.1007
ANKDD1A	36.8305	ANKDD1A	129.1978
ANKFN1	21.6025	removed	removed
ANKFY1	1745.9053	ANKFY1	2617.5373
ANKHD1-EIF4EBP3	961.8663	ANKHD1-EIF4EBP3	1708.4888
ANKHD1	2327.8442	ANKHD1	2616.4832
ANKH	1455.8654	ANKH	2870.8022
ANKIB1	1508.6321	ANKIB1	1797.5746
removed	removed	ANKK1	60.6343
removed	removed	ANKLE1	9.3284
ANKLE2	1604.2497	ANKLE2	1458.9552
ANKMY1	167.1536	ANKMY1	188.4328
ANKMY2	359.4511	ANKMY2	729.0112
ANKRA2	349.1811	ANKRA2	382.4627
ANKRD10	1160.1558	ANKRD10	1502.9338
ANKRD11	1296	ANKRD11	3293.6241
ANKRD12	758.9199	ANKRD12	2190.7649
ANKRD13A	1070.9163	ANKRD13A	1473.4142
ANKRD13B	144.1346	ANKRD13B	121.7351
ANKRD13C	438.7782	ANKRD13C	621.7351
ANKRD13D	671.0934	ANKRD13D	438.8993
ANKRD16	227.3289	ANKRD16	196.8284
ANKRD17	2131.2085	ANKRD17	3975.2799
ANKRD19	67.6405	ANKRD19	30.7836
ANKRD1	19.1235	removed	removed
removed	removed	ANKRD20A3	23.3209
removed	removed	ANKRD20B	13.0597
ANKRD22	501.4608	ANKRD22	25.653
ANKRD23	26.2063	ANKRD23	67.1642
ANKRD24	14.5197	ANKRD24	50.8396
ANKRD26	231.6069	ANKRD26	347.9478
ANKRD27	2233.5547	ANKRD27	830.2239
ANKRD28	1028.0655	ANKRD28	1321.3619
ANKRD29	23.3732	ANKRD29	283.1157
ANKRD30A	380.6994	ANKRD30A	871.2687
ANKRD30B	389.5529	ANKRD30B	89.5522
ANKRD32	159.0084	ANKRD32	168.8433
ANKRD34A	37.1846	ANKRD34A	26.5858
removed	removed	ANKRD34C	6.0634
ANKRD35	26.5604	ANKRD35	154.8507
ANKRD36BP1	75.4316	ANKRD36BP1	202.4254
ANKRD36B	10.9783	ANKRD36B	81.6231
ANKRD36	93.4927	ANKRD36	296.1754
ANKRD37	119.9433	ANKRD37	71.6278
ANKRD39	172.4657	ANKRD39	102.6119
ANKRD40	966.7995	ANKRD40	1831.6231
ANKRD42	400.1771	ANKRD42	268.6567
